Name,bet_date,Opponent,stat_name,stat_line,est_prob,opponent_rolling_rating_scaled,hit_rate,stat_average,stat_min_l5,stat_max_l5,over,log_pred,correct_log,pts,reb,ast,fg3m
Deni Avdija,2024-01-24T00:00:00Z,MIN,pts,11.5,0.6012080822356942,0.8922361067213018,0.8,12.214285714285714,2,23,1,1,1,24,6,6,4
Deni Avdija,2024-01-25T00:00:00Z,UTA,ast,3.5,0.12669837926115762,-0.5860136442091245,0.7,3.9302325581395348,1,9,1,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,MIN,fg3m,0.5,0.21489955027925775,0.2787725103359316,0.7,0.9285714285714285,0,3,1,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,MIN,ast,3.5,0.16499032568939462,-0.811188541091185,0.7,3.880952380952381,1,9,1,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,MIN,reb,5.5,0.24306551399199885,0.03758441379820417,0.6,6.166666666666666,2,14,1,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,UTA,reb,5.5,0.20320001035146132,0.26527026440597,0.6,6.162790697674419,2,14,1,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,UTA,pts,14.5,0.764472678581932,-0.34180601495929475,0.7,12.488372093023255,2,24,0,1,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,UTA,fg3m,1.5,0.19599959383899465,-0.4864604139524538,0.3,1,0,4,0,0,1,13,6,5,1
Deni Avdija,2024-01-25T00:00:00Z,MIN,pts,11.5,0.6012080822356942,0.8922361067213018,0.8,12.214285714285714,2,23,1,1,1,13,6,5,1
Dennis Schroder,2024-01-22T00:00:00Z,MEM,ast,4.5,0.0591126369606828,1.5278602611649863,0.4,6.5,2,12,0,0,1,11,2,3,1
Dennis Schroder,2024-01-22T00:00:00Z,MEM,pts,9.5,0.0030026252515354237,0.6649200678877853,0.7000000000000001,13.738095238095237,2,30,1,0,1,11,2,3,1
Dennis Schroder,2024-01-22T00:00:00Z,MEM,reb,2.5,0.17891153122382117,-0.18789326113720722,0.3,2.6904761904761902,0,7,0,0,1,11,2,3,1
Dennis Schroder,2024-01-22T00:00:00Z,MEM,fg3m,0.5,0.08021373635253676,0.48471042539820425,0.8,1.5238095238095237,0,5,1,0,1,11,2,3,1
Derrick White,2024-01-15T00:00:00Z,TOR,reb,3.5,0.6201382891820798,-1.5117693592710058,0.7,4,1,7,0,1,0,22,2,1,5
Derrick White,2024-01-19T00:00:00Z,DEN,pts,12.5,0.44380185121503674,-0.42882190170990797,0.6,15.864864864864865,2,30,1,0,0,24,3,5,5
Derrick White,2024-01-21T00:00:00Z,HOU,reb,3.5,0.21933876887495632,0.44624853772750095,0.5,3.9210526315789473,1,7,1,0,0,21,11,3,3
Derrick White,2024-01-21T00:00:00Z,HOU,ast,4.5,0.07661005723812989,0.3828787558929707,0.6,4.921052631578947,0,11,0,0,1,21,11,3,3
Derrick White,2024-01-22T00:00:00Z,DAL,reb,4.5,0.2330639240701257,-0.8609932377993164,0.5,4.102564102564102,1,11,0,0,1,6,4,1,1
Derrick White,2024-01-22T00:00:00Z,DAL,pts,16.5,0.6219561741210754,0.5565172376936319,0.4,16.205128205128204,2,30,0,1,0,6,4,1,1
Derrick White,2024-01-22T00:00:00Z,DAL,ast,4.5,0.10425718301096924,0.18730459787711315,0.5,4.871794871794871,0,11,0,0,1,6,4,1,1
Derrick White,2024-01-25T00:00:00Z,MIA,reb,3.5,0.13157575007328368,0.14471510021773432,0.6,4.1,1,11,1,0,1,15,6,6,3
Derrick White,2024-01-25T00:00:00Z,MIA,pts,14.5,0.3193657140485711,-1.4633312259500433,0.29999999999999993,15.95,2,30,1,0,0,15,6,6,3
Derrick White,2024-01-25T00:00:00Z,MIA,ast,4.5,0.04899368819613448,-1.0813063056941823,0.4,4.775,0,11,1,0,1,15,6,6,3
Devin Booker,2024-01-19T00:00:00Z,NOP,pts,25.5,0.667745491499662,0.26223642574927963,0.4,26.225806451612904,8,40,1,1,1,52,4,5,6
Devin Booker,2024-01-21T00:00:00Z,IND,ast,7.5,0.12217244347021232,0.24807520847903197,0.3,7.71875,4,15,1,0,1,26,6,8,1
