,full_name,prop,value,money,grade
1617,Tyrese Maxey,assists,6.5,-110,F
1631,Zion Williamson,assists,4.5,-115,D
1643,Anthony Davis,3fgm,0.5,140,F
1653,Austin Reaves,3fgm,1.5,-150,D
1666,Brandin Podziemski,3fgm,1.5,164,C+
1681,Brandon Ingram,3fgm,1.5,114,F
1694,Brandon Miller,3fgm,2.5,-166,C-
1708,CJ McCollum,3fgm,2.5,-166,C-
1723,Cam Thomas,3fgm,2.5,105,F
1735,Cameron Johnson,3fgm,2.5,-120,F
1748,D'Angelo Russell,3fgm,2.5,-105,D+
1763,Darius Garland,3fgm,1.5,114,F
1777,De'Aaron Fox,3fgm,2.5,-113,F
1790,Dejounte Murray,3fgm,2.5,135,C-
1804,Domantas Sabonis,3fgm,0.5,225,C
1814,Donovan Mitchell,3fgm,3.5,115,C-
1828,Draymond Green,3fgm,0.5,-130,B-
1839,Harrison Barnes,3fgm,1.5,-160,D
1853,Jalen Johnson,3fgm,1.5,120,F
1867,James Harden,3fgm,3.5,129,F
1880,Jonas Valanciunas,3fgm,0.5,145,C+
1890,Jonathan Kuminga,3fgm,0.5,-224,C
1903,Kawhi Leonard,3fgm,2.5,110,D
1916,Keegan Murray,3fgm,1.5,-195,C
1926,Kevin Huerter,3fgm,1.5,-195,C+
1968,LeBron James,3fgm,1.5,-148,C
1983,Luka Doncic,3fgm,3.5,-160,F
1997,Max Strus,3fgm,1.5,-166,D
2011,Mikal Bridges,3fgm,2.5,-160,F
2024,Miles Bridges,3fgm,2.5,110,C+
2038,Onyeka Okongwu,3fgm,0.5,185,C-
2049,Spencer Dinwiddie,3fgm,1.5,-130,F
2062,Stephen Curry,3fgm,4.5,-130,C
2076,Terance Mann,3fgm,0.5,-189,C
2088,Tobias Harris,3fgm,1.5,120,B-
2116,Tyrese Maxey,3fgm,2.5,-160,A-
