player,pos,adj_rank
Gordon Hayward,SF,198
Dillon Brooks,SF,199
Brandon Boston Jr.,SF,200
AJ Griffin,SF,201
Jordan Goodwin,PG,202
Ayo Dosunmu,SG,203.5
Skylar Mays,PG,203.5
Terence Davis,SG,205
Patrick Baldwin Jr.,SF,206
Alec Burks,SG,207
De'Andre Hunter,SF,208.5
Isaiah Hartenstein,C,208.5
Shaedon Sharpe,SG,210
Chris Boucher,PF,211
Trey Lyles,PF,212
Tim Hardaway Jr.,SF,213
Alex Caruso,PG,214.5
Terance Mann,SG,214.5
Kira Lewis Jr.,PG,216
Andrew Nembhard,SG,217
Delon Wright,PG,218
Dalano Banton,PG,219
Victor Oladipo,SG,220
Obi Toppin,PF,221
Chimezie Metu,PF,223
Jaylin Williams,C,223
Josh Green,SG,223
Lonnie Walker IV,SG,225
Dennis Smith Jr.,PG,226.5
Jericho Sims,C,226.5
Corey Kispert,SF,228.5
Max Strus,SF,228.5
John Wall,PG,230
Jeenathan Williams,SG,231
Jevon Carter,PG,232.5
Troy Brown Jr.,SF,232.5
Jamal Cain,PF,234.5
Théo Maledon,PG,234.5
Sam Hauser,SF,236
Aaron Nesmith,SF,237
Tre Mann,PG,238
Keita Bates-Diop,PF,240
Kyle Lowry,PG,240
Shake Milton,SG,240
John Konchar,SF,242.5
Luka Šamanić,PF,242.5
Nikola Jović,PF,244
Malaki Branham,SG,245
Edmond Sumner,SG,246.5
Peyton Watson,SG,246.5
Jonathan Isaac,PF,248
Dennis Schröder,PG,249
Keon Johnson,SG,250.5
Ryan Rollins,PG,250.5
Ron Harper Jr.,PF,252.5
Xavier Sneed,SF,252.5
Jock Landale,C,254
Josh Okogie,SG,255
Jaxson Hayes,C,256
Kenrich Williams,PF,257
Cedi Osman,SF,258
Isaac Okoro,SF,259
DeAndre Jordan,C,260
JaVale McGee,C,261
A.J. Green,SG,262
Anthony Lamb,SF,263.5
Cody Zeller,C,263.5
Landry Shamet,SG,265
JaMychal Green,PF,266
Gabe Vincent,PG,267.5
Sam Merrill,SG,267.5
Ty Jerome,SG,269
Aaron Wiggins,SG,270
Isaiah Mobley,PF,271
Torrey Craig,PF,272
Josh Christopher,SG,273.5
Nathan Knight,C,273.5
Javonte Green,SF,275
Boban Marjanović,C,276.5
Stanley Johnson,SF,276.5
Dalen Terry,SG,278.5
Wenyen Gabriel,C,278.5
Luke Kornet,C,280
Dyson Daniels,PG,282.5
Jeremiah Robinson-Earl,PF,282.5
Montrezl Harrell,C,282.5
Robert Covington,PF,282.5
Ousmane Dieng,PF,285
Taurean Prince,PF,286
David Roddy,PF,287
Damion Lee,SG,288
Zeke Nnaji,PF,289
Mamadi Diakite,C,290.5
Ziaire Williams,SF,290.5
Payton Pritchard,PG,292
Georges Niang,PF,293.5
Jae'Sean Tate,SF,293.5
Orlando Robinson,C,295
Marcus Morris,PF,296
Kai Jones,C,297
JD Davison,SG,298.5
Pat Connaughton,SF,298.5
Dwight Powell,C,300.5
Olivier Sarr,C,300.5
Moses Moody,SG,302
Nassir Little,SF,303
Johnny Davis,SG,304
Usman Garuba,C,305
Lindy Waters III,SG,306
MarJon Beauchamp,SF,307
Gary Harris,SG,309
Keon Ellis,SG,309
McKinley Wright IV,PG,309
Derrick Jones Jr.,PF,311
Scotty Pippen Jr.,PG,312
Kemba Walker,PG,313.5
Moussa Diabaté,C,313.5
Dominick Barlow,PF,315
Kendall Brown,SG,316.5
Seth Curry,SG,316.5
Vlatko Čančar,PF,318
Jason Preston,PG,319
Jae Crowder,PF,320
Christian Braun,SG,321.5
Quenton Jackson,PG,321.5
David Duke Jr.,SG,323
Shaquille Harrison,SG,324
James Bouknight,SG,325
Furkan Korkmaz,SG,326
Yuta Watanabe,SF,327
Daniel Theis,C,328.5
Meyers Leonard,C,328.5
Joe Ingles,SF,330
Nicolas Batum,PF,331
Chris Duarte,SF,332
Joshua Primo,SG,333
Ochai Agbaji,SG,334
Xavier Cooks,PF,335
Otto Porter Jr.,SF,336
Dean Wade,PF,337
Richaun Holmes,C,338
Lamar Stevens,SF,339
Max Christie,SG,340
Johnny Juzang,SG,341
Gabe York,SG,342
Joe Harris,SF,343.5
Robin Lopez,C,343.5
Jack White,SF,345
Davion Mitchell,PG,346
Admiral Schofield,PF,347
Carlik Jones,PG,348.5
Oshae Brissett,PF,348.5
Isaiah Roby,PF,350
Isaiah Livers,PF,351
Jarrett Culver,SF,352
Haywood Highsmith,PF,353
Justise Winslow,PF,354
Kennedy Chandler,PG,355
Dāvis Bertāns,PF,356
Bryce McGowens,SG,357
Jabari Walker,SF,358
Doug McDermott,SF,359.5
Jake LaRavia,PF,359.5
Romeo Langford,SG,361
Chuma Okeke,SF,362
Blake Wesley,SG,363.5
Greg Brown III,PF,363.5
Wendell Moore Jr.,SG,365
Duncan Robinson,SF,366
JT Thor,PF,367.5
Jordan McLaughlin,PG,367.5
Alex Len,C,369
Daishen Nix,PG,370
Reggie Bullock,SF,372
Trevelin Queen,SG,372
TyTy Washington Jr.,PG,372
Jordan Hall,SF,374
Thaddeus Young,PF,375
Raul Neto,PG,376
Michael Carter-Williams,PG,377
Blake Griffin,C,378
Derrick Rose,PG,379.5
Kevon Harris,SG,379.5
Khem Birch,C,381
Cory Joseph,PG,382
Malachi Flynn,PG,383
Simone Fontecchio,SF,384
Serge Ibaka,C,385
Danuel House Jr.,SF,387
Patty Mills,PG,387
Vince Williams Jr.,SG,387
Ricky Rubio,PG,389
Evan Fournier,SG,390
Christian Koloko,C,391
Miles McBride,PG,392
Ish Wainright,SF,393.5
Maxi Kleber,PF,393.5
Gorgui Dieng,C,395
Aaron Holiday,PG,396
Rodney McGruder,SG,397
Caleb Houstan,SF,398.5
Trevor Hudgins,PG,398.5
Tyrese Martin,SG,400
Theo Pinson,SG,401
Jeff Green,PF,402
Justin Minaya,SF,403.5
Marko Simonovic,C,403.5
Alize Johnson,PF,405
Jeff Dowtin,PG,406
Jared Rhoden,SG,407
KZ Okpala,PF,408
John Butler,C,409
Austin Rivers,SG,410
Bryn Forbes,SG,411
Vit Krejci,PG,412
Noah Vonleh,C,413
Cody Martin,SF,414
Juancho Hernangómez,PF,415
Rudy Gay,PF,416
Anthony Gill,PF,417
Trent Forrest,SG,418
James Johnson,PF,419.5
Taj Gibson,C,419.5
Kobi Simmons,SG,421
Frank Ntilikina,SG,422
Amir Coffey,SF,423.5
Garrett Temple,SG,423.5
Ish Smith,PG,425
Mfiondu Kabengele,PF,426
Udonis Haslem,C,427
P.J. Tucker,PF,428
Justin Jackson,SF,429
Facundo Campazzo,PG,430
Andre Iguodala,PF,431.5
Thanasis Antetokounmpo,PF,431.5
Wesley Matthews,SF,433
Matthew Dellavedova,PG,434
Isaiah Todd,PF,435
Buddy Boeheim,SF,436
