Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Brock McGinn (32165563),Brock McGinn,32165563,W/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,ANH,2.99
LW,Ross Johnston (32165565),Ross Johnston,32165565,W/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,ANH,1.97
RW,Jakob Silfverberg (32165567),Jakob Silfverberg,32165567,W/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,ANH,3.97
RW,Ryan Reaves (32165569),Ryan Reaves,32165569,W/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,TOR,1.24
D,Tristan Luneau (32165639),Tristan Luneau,32165639,D/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,ANH,5.74
D,William Lagesson (32165641),William Lagesson,32165641,D/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,TOR,3.91
D,Max Lajoie (32165643),Max Lajoie,32165643,D/UTIL,2500,TOR@ANH 01/03/2024 09:00PM ET,TOR,2.38
C,Nicklas Backstrom (32165471),Nicklas Backstrom,32165471,C/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,4.44
C,Chris Tierney (32165473),Chris Tierney,32165473,C/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,0.82
C,Tomas Nosek (32165475),Tomas Nosek,32165475,C/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,1.65
LW,Hendrix Lapierre (32165541),Hendrix Lapierre,32165541,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,4.3
LW,Beck Malenstyn (32165543),Beck Malenstyn,32165543,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,5.27
RW,Nicolas Aube-Kubel (32165545),Nicolas Aube-Kubel,32165545,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,4.42
LW,Sonny Milano (32165547),Sonny Milano,32165547,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,4.05
LW,Ivan Miroshnichenko (32165549),Ivan Miroshnichenko,32165549,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,2.58
LW,Joe Snively (32165551),Joe Snively,32165551,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,0
RW,Nathan Bastian (32165553),Nathan Bastian,32165553,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,3.04
LW,Nolan Foote (32165555),Nolan Foote,32165555,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,0
LW,Samuel Laberge (32165557),Samuel Laberge,32165557,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,0
LW,Max Willman (32165559),Max Willman,32165559,W/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,4.32
D,Alexander Alexeyev (32165625),Alexander Alexeyev,32165625,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,3.48
D,Hardy Haman Aktell (32165627),Hardy Haman Aktell,32165627,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,3.17
D,Dylan McIlrath (32165629),Dylan McIlrath,32165629,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,1.5
D,Lucas Johansen (32165631),Lucas Johansen,32165631,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,WAS,3.85
D,Brendan Smith (32165633),Brendan Smith,32165633,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,4.47
D,Kevin Bahl (32165635),Kevin Bahl,32165635,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,3.37
D,Colin Miller (32165637),Colin Miller,32165637,D/UTIL,2500,NJ@WAS 01/03/2024 07:30PM ET,NJ,3.47
