game_date,opponent_team,team
2024-11-07,UTA,MIL
2024-11-07,POR,SAS
2024-11-08,IND,CHA
2024-11-08,ATL,DET
2024-11-08,NOP,ORL
2024-11-08,BKN,BOS
2024-11-08,GSW,CLE
2024-11-08,MIL,NYK
2024-11-08,PHX,DAL
2024-11-08,WAS,MEM
2024-11-08,HOU,OKC
2024-11-08,POR,MIN
2024-11-08,MIA,DEN
2024-11-08,PHI,LAL
2024-11-08,LAC,SAC
2024-11-09,UTA,SAS
2024-11-09,CHI,ATL
2024-11-09,BKN,CLE
2024-11-09,TOR,LAC
2024-11-10,HOU,DET
2024-11-10,BOS,MIL
2024-11-10,NYK,IND
2024-11-10,WAS,ORL
2024-11-10,CHA,PHI
2024-11-10,MIA,MIN
2024-11-10,GSW,OKC
2024-11-10,DAL,DEN
2024-11-10,SAC,PHX
2024-11-10,MEM,POR
2024-11-10,TOR,LAL
2024-11-11,CLE,CHI
2024-11-11,WAS,HOU
2024-11-11,BKN,NOP
2024-11-11,LAC,OKC
2024-11-11,SAC,SAS
2024-11-12,ATL,BOS
2024-11-12,MIA,DET
2024-11-12,CHA,ORL
2024-11-12,NYK,PHI
2024-11-12,TOR,MIL
2024-11-12,PHX,UTA
2024-11-12,DAL,GSW
2024-11-12,MIN,POR
2024-11-13,IND,ORL
2024-11-13,BOS,BKN
2024-11-13,CHI,NYK
2024-11-13,CLE,PHI
2024-11-13,NOP,OKC
2024-11-13,LAC,HOU
2024-11-13,DET,MIL
2024-11-13,WAS,SAS
2024-11-13,MEM,LAL
2024-11-13,MIN,POR
2024-11-13,PHX,SAC
2024-11-14,DAL,UTA
2024-11-15,MIA,IND
2024-11-15,PHI,ORL
2024-11-15,DET,TOR
2024-11-15,WAS,ATL
2024-11-15,CHI,CLE
2024-11-15,BKN,NYK
2024-11-15,LAL,SAS
2024-11-15,LAC,HOU
2024-11-15,DEN,NOP
2024-11-15,PHX,OKC
2024-11-15,MEM,GSW
2024-11-15,MIN,SAC
2024-11-16,MIL,CHA
2024-11-16,TOR,BOS
2024-11-16,LAL,NOP
2024-11-16,SAS,DAL
2024-11-16,UTA,SAC
2024-11-17,PHX,MIN
2024-11-17,MIA,IND
2024-11-17,CHA,CLE
2024-11-17,DET,WAS
2024-11-17,DEN,MEM
2024-11-17,ATL,POR
2024-11-17,BKN,NYK
2024-11-17,HOU,CHI
2024-11-17,DAL,OKC
2024-11-17,UTA,LAC
2024-11-18,CHI,DET
2024-11-18,PHI,MIA
2024-11-18,WAS,NYK
2024-11-18,IND,TOR
2024-11-18,HOU,MIL
2024-11-18,ORL,PHX
2024-11-18,ATL,SAC
2024-11-18,GSW,LAC
2024-11-19,CLE,BOS
2024-11-19,CHA,BKN
2024-11-19,DEN,MEM
2024-11-19,NOP,DAL
2024-11-19,OKC,SAS
2024-11-19,UTA,LAL
2024-11-20,NOP,CLE
2024-11-20,CHI,MIL
2024-11-20,IND,HOU
2024-11-20,PHI,MEM
2024-11-20,POR,OKC
2024-11-20,NYK,PHX
2024-11-20,ATL,GSW
2024-11-20,ORL,LAC
2024-11-21,DET,CHA
2024-11-21,MIN,TOR
2024-11-21,UTA,SAS
2024-11-21,ORL,LAL
2024-11-22,BKN,PHI
2024-11-22,BOS,WAS
2024-11-22,GSW,NOP
2024-11-22,IND,MIL
2024-11-22,ATL,CHI
2024-11-22,POR,HOU
2024-11-22,DAL,DEN
2024-11-22,SAC,LAC
2024-11-23,NYK,UTA
2024-11-23,DET,ORL
2024-11-23,MEM,CHI
2024-11-23,POR,HOU
2024-11-23,CHA,MIL
2024-11-23,GSW,SAS
2024-11-23,DEN,LAL
2024-11-24,MIN,BOS
2024-11-24,WAS,IND
2024-11-24,DAL,MIA
2024-11-24,LAC,PHI
2024-11-24,TOR,CLE
2024-11-24,BKN,SAC
2024-11-25,ORL,CHA
2024-11-25,TOR,DET
2024-11-25,NOP,IND
2024-11-25,DAL,ATL
2024-11-25,LAC,BOS
2024-11-25,POR,MEM
2024-11-25,NYK,DEN
2024-11-25,BKN,GSW
2024-11-25,OKC,SAC
2024-11-26,CHI,WAS
2024-11-26,MIL,MIA
2024-11-26,HOU,MIN
2024-11-26,SAS,UTA
2024-11-26,LAL,PHX
2024-11-27,MIA,CHA
2024-11-27,ATL,CLE
2024-11-27,POR,IND
2024-11-27,CHI,ORL
2024-11-27,HOU,PHI
2024-11-27,LAC,WAS
2024-11-27,NYK,DAL
2024-11-27,DET,MEM
2024-11-27,SAC,MIN
2024-11-27,TOR,NOP
2024-11-27,LAL,SAS
2024-11-27,BKN,PHX
2024-11-27,DEN,UTA
2024-11-27,OKC,GSW
2024-11-29,NYK,CHA
2024-11-29,CLE,ATL
2024-11-29,NOP,MEM
2024-11-29,ORL,BKN
2024-11-29,LAC,MIN
2024-11-29,DET,IND
2024-11-29,TOR,MIA
2024-11-29,BOS,CHI
2024-11-29,OKC,LAL
2024-11-29,SAC,POR
2024-11-30,ATL,CHA
2024-11-30,PHI,DET
2024-11-30,WAS,MIL
2024-11-30,GSW,PHX
2024-11-30,DAL,UTA
2024-12-01,ORL,BKN
2024-12-01,IND,MEM
2024-12-01,BOS,CLE
2024-12-01,NOP,NYK
2024-12-01,MIA,TOR
2024-12-01,OKC,HOU
2024-12-01,LAL,UTA
2024-12-01,DAL,POR
2024-12-01,SAS,SAC
2024-12-01,DEN,LAC
2024-12-02,NOP,ATL
2024-12-02,MIA,BOS
2024-12-02,BKN,CHI
2024-12-02,LAL,MIN
2024-12-03,PHI,CHA
2024-12-03,WAS,CLE
2024-12-03,MIL,DET
2024-12-03,ORL,NYK
2024-12-03,IND,TOR
2024-12-03,UTA,OKC
2024-12-03,MEM,DAL
2024-12-03,SAS,PHX
2024-12-03,GSW,DEN
2024-12-03,HOU,SAC
2024-12-03,POR,LAC
2024-12-04,DET,BOS
2024-12-04,IND,BKN
2024-12-04,LAL,MIA
2024-12-04,ORL,PHI
2024-12-04,ATL,MIL
2024-12-04,MIN,LAC
2024-12-05,DEN,CLE
2024-12-05,DAL,WAS
2024-12-05,CHA,NYK
2024-12-05,OKC,TOR
2024-12-05,SAC,MEM
2024-12-05,PHX,NOP
2024-12-05,CHI,SAS
2024-12-05,HOU,GSW
2024-12-06,ORL,PHI
2024-12-06,LAL,ATL
2024-12-06,MIL,BOS
2024-12-06,IND,CHI
2024-12-06,SAC,SAS
2024-12-06,MIN,GSW
2024-12-06,UTA,POR
2024-12-07,CLE,CHA
2024-12-07,DEN,WAS
2024-12-07,OKC,NOP
2024-12-07,DET,NYK
2024-12-07,DAL,TOR
2024-12-07,MEM,BOS
2024-12-07,PHX,MIA
2024-12-08,PHI,CHI
2024-12-08,MIL,BKN
2024-12-08,CHA,IND
2024-12-08,DEN,ATL
2024-12-08,CLE,MIA
2024-12-08,PHX,ORL
2024-12-08,MEM,WAS
2024-12-08,NOP,SAS
2024-12-08,MIN,GSW
2024-12-08,HOU,LAC
2024-12-08,UTA,SAC
2024-12-08,POR,LAL
2024-12-09,NYK,TOR
2024-12-10,ORL,MIL
2024-12-10,DAL,OKC
2024-12-11,ATL,NYK
2024-12-11,GSW,HOU
2024-12-12,DET,BOS
2024-12-12,TOR,MIA
2024-12-12,SAC,NOP
2024-12-13,WAS,CLE
2024-12-13,IND,PHI
2024-12-13,LAL,MIN
2024-12-13,BKN,MEM
2024-12-13,CHA,CHI
2024-12-13,LAC,DEN
2024-12-13,PHX,UTA
2024-12-13,SAS,POR
2024-12-14,ATL,MIL
2024-12-14,HOU,OKC
2024-12-15,NOP,IND
2024-12-15,BOS,WAS
2024-12-15,NYK,ORL
2024-12-15,MIN,SAS
2024-12-15,POR,PHX
2024-12-15,DAL,GSW
2024-12-15,MEM,LAL
2024-12-16,MIA,DET
2024-12-16,PHI,CHA
2024-12-16,CHI,TOR
2024-12-16,CLE,BKN
2024-12-16,DEN,SAC
2024-12-16,UTA,LAC
2024-12-17,MIL,OKC
2024-12-19,UTA,DET
2024-12-19,OKC,ORL
2024-12-19,CHA,WAS
2024-12-19,CHI,BOS
2024-12-19,BKN,TOR
2024-12-19,NOP,HOU
2024-12-19,GSW,MEM
2024-12-19,ATL,SAS
2024-12-19,LAC,DAL
2024-12-19,IND,PHX
2024-12-19,NYK,MIN
2024-12-19,DEN,POR
2024-12-19,LAL,SAC
2024-12-20,CHA,PHI
2024-12-20,MIL,CLE
2024-12-20,OKC,MIA
2024-12-21,LAL,SAC
2024-12-21,MIA,ORL
2024-12-21,MEM,ATL
2024-12-21,UTA,BKN
2024-12-21,PHI,CLE
2024-12-21,BOS,CHI
2024-12-21,WAS,MIL
2024-12-21,GSW,MIN
2024-12-21,NYK,NOP
2024-12-21,LAC,DAL
2024-12-21,POR,SAS
2024-12-21,DET,PHX
2024-12-22,HOU,TOR
2024-12-22,IND,SAC
2024-12-22,DEN,NOP
2024-12-23,HOU,CHA
2024-12-23,UTA,CLE
2024-12-23,BOS,ORL
2024-12-23,SAS,PHI
2024-12-23,MIN,ATL
2024-12-23,BKN,MIA
2024-12-23,TOR,NYK
2024-12-23,MIL,CHI
2024-12-23,LAC,MEM
2024-12-23,WAS,OKC
2024-12-23,POR,DAL
2024-12-23,PHX,DEN
2024-12-23,IND,GSW
2024-12-23,DET,LAL
2024-12-25,SAS,NYK
2024-12-25,MIN,DAL
2024-12-25,PHI,BOS
2024-12-25,LAL,GSW
2024-12-25,DEN,PHX
2024-12-26,OKC,IND
2024-12-26,MIA,ORL
2024-12-26,CHA,WAS
2024-12-26,CHI,ATL
2024-12-26,TOR,MEM
2024-12-26,BKN,MIL
2024-12-26,HOU,NOP
2024-12-26,UTA,POR
2024-12-26,DET,SAC
2024-12-27,NYK,ORL
2024-12-27,IND,BOS
2024-12-27,SAS,BKN
2024-12-27,MIN,HOU
2024-12-27,MEM,NOP
2024-12-27,CLE,DEN
2024-12-27,DAL,PHX
2024-12-27,GSW,LAC
2024-12-28,MIA,ATL
2024-12-28,OKC,CHA
2024-12-28,NYK,WAS
2024-12-28,MIL,CHI
2024-12-28,PHX,GSW
2024-12-28,DET,DEN
2024-12-28,PHI,UTA
2024-12-28,DAL,POR
2024-12-28,SAC,LAL
2024-12-29,BKN,ORL
2024-12-29,IND,BOS
2024-12-29,ATL,TOR
2024-12-29,MIA,HOU
2024-12-29,MEM,OKC
2024-12-29,SAS,MIN
2024-12-30,CHI,CHA
2024-12-30,NYK,WAS
2024-12-30,LAC,NOP
2024-12-30,DEN,UTA
2024-12-30,CLE,GSW
2024-12-30,PHI,POR
2024-12-30,DAL,SAC
2024-12-31,TOR,BOS
2024-12-31,MIL,IND
2024-12-31,LAC,SAS
2024-12-31,MIN,OKC
2024-12-31,MEM,PHX
2024-12-31,CLE,LAL
2025-01-01,DET,ORL
2025-01-01,WAS,CHI
2025-01-01,MIA,NOP
2025-01-01,NYK,UTA
2025-01-01,TOR,BKN
2025-01-01,HOU,DAL
2025-01-01,DEN,ATL
2025-01-01,SAC,PHI
2025-01-02,MIA,IND
2025-01-02,MIN,BOS
2025-01-02,MIL,BKN
2025-01-02,OKC,LAC
2025-01-02,GSW,PHI
2025-01-02,LAL,POR
2025-01-03,DET,CHA
2025-01-03,TOR,ORL
2025-01-03,HOU,BOS
2025-01-03,NOP,WAS
2025-01-03,OKC,NYK
2025-01-03,DAL,CLE
2025-01-03,DEN,SAS
2025-01-03,SAC,MEM
2025-01-03,LAL,ATL
2025-01-04,BKN,PHI
2025-01-04,DET,MIN
2025-01-04,IND,PHX
2025-01-04,MIA,UTA
2025-01-04,CHI,NYK
2025-01-04,MIL,POR
2025-01-04,SAS,DEN
2025-01-04,GSW,MEM
2025-01-04,LAC,ATL
2025-01-05,OKC,BOS
2025-01-05,CLE,CHA
2025-01-05,WAS,NOP
2025-01-05,ORL,UTA
2025-01-05,HOU,LAL
2025-01-05,GSW,SAC
2025-01-06,DET,POR
2025-01-06,PHI,PHX
2025-01-06,BKN,IND
2025-01-06,NYK,ORL
2025-01-06,TOR,MIL
2025-01-06,CHI,SAS
2025-01-06,MEM,DAL
2025-01-06,MIN,LAC
2025-01-06,SAC,MIA
2025-01-07,CHA,PHX
2025-01-07,WAS,HOU
2025-01-07,DAL,LAL
2025-01-07,NOP,MIN
2025-01-07,UTA,ATL
2025-01-07,DEN,BOS
2025-01-07,GSW,MIA
2025-01-08,CLE,OKC
2025-01-08,IND,CHI
2025-01-08,PHI,WAS
2025-01-08,NYK,TOR
2025-01-08,BKN,DET
2025-01-08,NOP,POR
2025-01-08,DEN,LAC
2025-01-08,MIL,SAS
2025-01-09,CLE,TOR
2025-01-09,DET,GSW
2025-01-09,ORL,MIN
2025-01-09,MEM,HOU
2025-01-09,DAL,POR
2025-01-09,PHX,ATL
2025-01-09,UTA,MIA
2025-01-09,LAL,CHA
2025-01-10,IND,GSW
2025-01-10,ORL,MIL
2025-01-10,PHI,NOP
2025-01-10,BOS,SAC
2025-01-10,NYK,OKC
2025-01-10,CHI,WAS
2025-01-10,DEN,BKN
2025-01-11,ATL,HOU
2025-01-11,PHX,UTA
2025-01-11,DET,TOR
2025-01-11,MIN,MEM
2025-01-11,POR,MIA
2025-01-11,LAL,SAS
2025-01-11,LAC,CHA
2025-01-12,NYK,MIL
2025-01-12,DAL,DEN
2025-01-12,CHI,SAC
2025-01-12,BOS,NOP
2025-01-12,CLE,IND
2025-01-12,ORL,PHI
2025-01-12,WAS,OKC
2025-01-12,UTA,BKN
2025-01-12,PHX,CHA
2025-01-13,WAS,MIN
2025-01-13,NYK,DET
2025-01-13,TOR,GSW
2025-01-13,HOU,MEM
2025-01-13,LAL,SAS
2025-01-13,LAC,MIA
2025-01-14,IND,CLE
2025-01-14,PHI,OKC
2025-01-14,ATL,PHX
2025-01-14,CHI,NOP
2025-01-14,MIL,SAC
2025-01-14,DAL,DEN
2025-01-14,POR,BKN
2025-01-15,PHI,NYK
2025-01-15,TOR,BOS
2025-01-15,CHI,ATL
2025-01-15,MIL,ORL
2025-01-15,MIN,GSW
2025-01-15,NOP,DAL
2025-01-15,SAS,MEM
2025-01-15,DEN,HOU
2025-01-15,UTA,CHA
2025-01-15,LAL,MIA
2025-01-15,LAC,BKN
2025-01-16,DET,IND
2025-01-16,WAS,PHX
2025-01-16,OKC,CLE
2025-01-16,POR,LAC
2025-01-16,SAC,HOU
2025-01-17,BOS,ORL
2025-01-17,NYK,MIN
2025-01-17,MIA,DEN
2025-01-17,MIL,TOR
2025-01-17,NOP,UTA
2025-01-17,SAS,MEM
2025-01-17,DAL,OKC
2025-01-17,CHI,CHA
2025-01-17,LAL,BKN
2025-01-18,DET,PHX
2025-01-18,BOS,ATL
2025-01-18,IND,PHI
2025-01-18,GSW,WAS
2025-01-18,MIN,CLE
2025-01-18,POR,HOU
2025-01-19,MIA,SAS
2025-01-19,ORL,DEN
2025-01-19,MIL,PHI
2025-01-19,OKC,BKN
2025-01-19,LAC,LAL
2025-01-19,POR,CHI
2025-01-19,SAC,WAS
2025-01-20,CHA,DAL
2025-01-20,HOU,DET
2025-01-20,MEM,MIN
2025-01-20,NYK,ATL
2025-01-20,CLE,PHX
2025-01-20,GSW,BOS
2025-01-20,NOP,UTA
2025-01-21,BKN,NYK
2025-01-21,MIA,POR
2025-01-21,TOR,ORL
2025-01-21,DEN,PHI
2025-01-21,LAL,WAS
2025-01-21,LAC,CHI
2025-01-22,ATL,DET
2025-01-22,BKN,PHX
2025-01-22,DAL,MIN
2025-01-22,HOU,CLE
2025-01-22,MEM,CHA
2025-01-22,NOP,MIL
2025-01-22,OKC,UTA
2025-01-22,SAC,GSW
2025-01-22,LAC,BOS
2025-01-23,IND,SAS
2025-01-23,ORL,POR
2025-01-23,ATL,TOR
2025-01-23,MIL,MIA
2025-01-23,OKC,DAL
2025-01-23,DEN,SAC
2025-01-23,UTA,WAS
2025-01-23,GSW,CHI
2025-01-23,LAL,BOS
2025-01-24,CHA,POR
2025-01-24,PHI,CLE
2025-01-24,MEM,NOP
2025-01-25,SAS,IND
2025-01-25,MIN,DEN
2025-01-25,DAL,BOS
2025-01-25,BKN,MIA
2025-01-25,CHA,NOP
2025-01-25,ORL,DET
2025-01-25,ATL,TOR
2025-01-25,CLE,HOU
2025-01-25,NYK,SAC
2025-01-25,CHI,PHI
2025-01-25,MEM,UTA
2025-01-25,GSW,LAL
2025-01-25,PHX,WAS
2025-01-25,LAC,MIL
2025-01-26,POR,OKC
2025-01-27,CHA,LAL
2025-01-27,CLE,DET
2025-01-27,BOS,HOU
2025-01-27,BKN,SAC
2025-01-27,MIA,ORL
2025-01-27,NYK,MEM
2025-01-27,TOR,NOP
2025-01-27,CHI,DEN
2025-01-27,MIN,ATL
2025-01-27,DAL,WAS
2025-01-27,UTA,MIL
2025-01-27,PHX,LAC
2025-01-28,PHI,LAL
2025-01-28,GSW,UTA
2025-01-28,POR,MIL
2025-01-29,CHA,BKN
2025-01-29,IND,DET
2025-01-29,WAS,TOR
2025-01-29,BOS,CHI
2025-01-29,MIA,CLE
2025-01-29,NYK,DEN
2025-01-29,PHI,SAC
2025-01-29,NOP,DAL
2025-01-29,SAS,LAC
2025-01-29,PHX,MIN
2025-01-29,GSW,OKC
2025-01-30,WAS,LAL
2025-01-30,CLE,ATL
2025-01-30,MEM,HOU
2025-01-30,UTA,MIN
2025-01-30,POR,ORL
2025-01-31,CHA,LAC
2025-01-31,DET,DAL
2025-01-31,PHI,DEN
2025-01-31,TOR,CHI
2025-01-31,NOP,BOS
2025-01-31,SAS,MIL
2025-01-31,GSW,PHX
2025-02-01,IND,ATL
2025-02-01,UTA,ORL
2025-02-01,CHA,DEN
2025-02-01,HOU,BKN
2025-02-01,MIN,WAS
2025-02-01,OKC,SAC
2025-02-01,NYK,LAL
2025-02-01,SAS,MIA
2025-02-01,POR,PHX
2025-02-02,DET,CHI
2025-02-02,CLE,DAL
2025-02-02,TOR,LAC
2025-02-02,PHI,BOS
2025-02-02,MIL,MEM
2025-02-03,CHA,WAS
2025-02-03,DET,ATL
2025-02-03,NYK,HOU
2025-02-03,MEM,SAS
2025-02-03,MIN,SAC
2025-02-03,OKC,MIL
2025-02-03,DEN,NOP
2025-02-03,UTA,IND
2025-02-03,GSW,ORL
2025-02-03,POR,PHX
2025-02-04,CLE,BOS
2025-02-04,BKN,HOU
2025-02-04,PHI,DAL
2025-02-04,TOR,NYK
2025-02-04,CHI,MIA
2025-02-04,LAC,LAL
2025-02-04,POR,IND
2025-02-05,CHA,MIL
2025-02-05,DET,CLE
2025-02-05,ATL,SAS
2025-02-05,BKN,WAS
2025-02-05,PHI,MIA
2025-02-05,TOR,MEM
2025-02-05,MIN,CHI
2025-02-05,OKC,PHX
2025-02-05,UTA,GSW
2025-02-05,DEN,NOP
2025-02-05,SAC,ORL
2025-02-06,BOS,DAL
2025-02-06,MIN,HOU
2025-02-06,DEN,ORL
2025-02-06,LAL,GSW
2025-02-06,POR,SAC
2025-02-06,LAC,IND
2025-02-07,CHA,SAS
2025-02-07,WAS,CLE
2025-02-07,ATL,MIL
2025-02-07,BKN,MIA
2025-02-07,DET,PHI
2025-02-07,OKC,TOR
2025-02-07,PHX,UTA
2025-02-08,DAL,HOU
2025-02-08,LAL,IND
2025-02-08,ORL,SAS
2025-02-08,WAS,ATL
2025-02-08,CHI,GSW
2025-02-08,MEM,OKC
2025-02-08,MIN,POR
2025-02-08,NYK,BOS
2025-02-08,PHX,DEN
2025-02-08,SAC,NOP
2025-02-08,LAC,UTA
2025-02-09,DET,CHA
2025-02-09,HOU,TOR
2025-02-09,MIL,PHI
2025-02-10,CLE,MIN
2025-02-10,ORL,ATL
2025-02-10,WAS,SAS
2025-02-10,BKN,CHA
2025-02-10,MIA,BOS
2025-02-10,MIL,GSW
2025-02-10,OKC,NOP
2025-02-10,DAL,SAC
2025-02-10,DEN,POR
2025-02-11,PHI,TOR
2025-02-11,IND,NYK
2025-02-11,CHI,DET
2025-02-11,PHX,MEM
2025-02-11,LAL,UTA
2025-02-12,BOS,SAS
2025-02-12,ORL,CHA
2025-02-12,WAS,IND
2025-02-12,BKN,PHI
2025-02-12,NYK,ATL
2025-02-12,TOR,CLE
2025-02-12,CHI,DET
2025-02-12,MIN,MIL
2025-02-12,NOP,SAC
2025-02-12,OKC,MIA
2025-02-12,HOU,PHX
2025-02-12,DEN,POR
2025-02-12,UTA,LAL
2025-02-12,DAL,GSW
2025-02-12,LAC,MEM
2025-02-13,HOU,GSW
2025-02-13,NOP,SAC
2025-02-13,DAL,MIA
2025-02-13,MIN,OKC
2025-02-20,IND,MEM
2025-02-20,PHI,BOS
2025-02-20,ATL,ORL
2025-02-20,BKN,CLE
2025-02-20,NYK,CHI
2025-02-20,MIL,LAC
2025-02-20,DEN,CHA
2025-02-20,SAS,PHX
2025-02-20,POR,LAL
2025-02-21,CLE,NYK
2025-02-21,ORL,MEM
2025-02-21,WAS,MIL
2025-02-21,TOR,MIA
2025-02-21,HOU,MIN
2025-02-21,SAS,DET
2025-02-21,DAL,NOP
2025-02-21,UTA,OKC
2025-02-21,SAC,GSW
2025-02-22,CHI,PHX
2025-02-22,PHI,BKN
2025-02-22,DEN,LAL
2025-02-22,UTA,HOU
2025-02-22,POR,CHA
2025-02-23,BOS,NYK
2025-02-23,GSW,DAL
2025-02-23,IND,LAC
2025-02-23,ATL,DET
2025-02-23,ORL,WAS
2025-02-23,TOR,PHX
2025-02-23,MIL,MIA
2025-02-23,NOP,SAS
2025-02-23,CLE,MEM
2025-02-23,MIN,OKC
2025-02-24,DET,LAC
2025-02-24,IND,DEN
2025-02-24,PHI,CHI
2025-02-24,WAS,BKN
2025-02-24,ATL,MIA
2025-02-24,OKC,MIN
2025-02-24,UTA,POR
2025-02-24,SAC,CHA
2025-02-25,TOR,BOS
2025-02-25,ORL,CLE
2025-02-25,HOU,MIL
2025-02-25,MEM,PHX
2025-02-25,NOP,SAS
2025-02-25,GSW,CHA
2025-02-25,LAL,DAL
2025-02-26,DET,BOS
2025-02-26,IND,TOR
2025-02-26,NYK,PHI
2025-02-26,WAS,POR
2025-02-26,BKN,OKC
2025-02-26,MIA,ATL
2025-02-26,CHI,LAC
2025-02-26,UTA,SAC
2025-02-26,HOU,SAS
2025-02-27,ORL,GSW
2025-02-27,MIL,DEN
2025-02-27,DAL,CHA
2025-02-27,PHX,NOP
2025-02-27,LAL,MIN
2025-02-28,DET,DEN
2025-02-28,ATL,OKC
2025-02-28,BOS,CLE
2025-02-28,BKN,POR
2025-02-28,MIA,IND
2025-02-28,CHI,TOR
2025-02-28,MEM,NYK
2025-02-28,PHX,NOP
2025-02-28,UTA,MIN
2025-02-28,LAL,LAC
2025-03-01,CHA,WAS
2025-03-01,DET,BKN
2025-03-01,HOU,SAC
2025-03-01,MEM,SAS
2025-03-01,PHI,GSW
2025-03-01,DAL,MIL
2025-03-02,BOS,DEN
2025-03-02,CLE,POR
2025-03-02,IND,CHI
2025-03-02,MIA,NYK
2025-03-02,ORL,TOR
2025-03-02,SAS,OKC
2025-03-02,UTA,NOP
2025-03-02,PHX,MIN
2025-03-02,LAL,LAC
2025-03-03,CHA,GSW
2025-03-03,PHI,POR
2025-03-03,MIA,WAS
2025-03-03,MEM,ATL
2025-03-03,OKC,HOU
2025-03-03,DAL,SAC
2025-03-03,UTA,DET
2025-03-04,IND,HOU
2025-03-04,ORL,TOR
2025-03-04,ATL,MIL
2025-03-04,NYK,GSW
2025-03-04,CHI,CLE
2025-03-04,MIN,PHI
2025-03-04,SAS,BKN
2025-03-04,PHX,LAC
2025-03-04,LAL,NOP
2025-03-05,BOS,POR
2025-03-05,CHA,MIN
2025-03-05,CLE,MIA
2025-03-05,WAS,UTA
2025-03-05,MEM,OKC
2025-03-05,DEN,SAC
2025-03-05,MIL,DAL
2025-03-05,LAC,DET
2025-03-06,ATL,IND
2025-03-06,BOS,PHI
2025-03-06,BKN,GSW
2025-03-06,NOP,HOU
2025-03-06,LAL,NYK
2025-03-07,CHA,CLE
2025-03-07,TOR,UTA
2025-03-07,DAL,MEM
2025-03-07,MIA,MIN
2025-03-07,OKC,POR
2025-03-07,DEN,PHX
2025-03-07,SAC,SAS
2025-03-07,LAC,NYK
2025-03-08,CHA,BKN
2025-03-08,HOU,NOP
2025-03-08,ATL,IND
2025-03-08,TOR,WAS
2025-03-08,MIA,CHI
2025-03-08,MIL,ORL
2025-03-08,BOS,LAL
2025-03-08,GSW,DET
2025-03-09,OKC,DEN
2025-03-09,DAL,PHX
2025-03-09,NOP,MEM
2025-03-09,PHI,UTA
2025-03-09,MIL,CLE
2025-03-09,MIN,SAS
2025-03-09,POR,DET
2025-03-09,LAC,SAC
2025-03-10,ATL,PHI
2025-03-10,BOS,UTA
2025-03-10,BKN,LAL
2025-03-10,MIA,CHA
2025-03-10,TOR,WAS
2025-03-10,CHI,IND
2025-03-10,HOU,ORL
2025-03-10,MEM,PHX
2025-03-10,OKC,DEN
2025-03-10,SAS,DAL
2025-03-10,GSW,POR
2025-03-10,SAC,NYK
2025-03-11,CLE,BKN
2025-03-11,DET,WAS
2025-03-11,IND,MIL
2025-03-11,NOP,LAC
2025-03-12,ORL,CHI
2025-03-12,ATL,CHA
2025-03-12,BOS,OKC
2025-03-12,TOR,PHI
2025-03-12,MIA,LAC
2025-03-12,HOU,PHX
2025-03-12,MEM,UTA
2025-03-12,SAS,DAL
2025-03-12,DEN,MIN
2025-03-12,POR,NYK
2025-03-13,DET,WAS
2025-03-13,MIL,LAL
2025-03-13,CHI,BKN
2025-03-13,GSW,SAC
2025-03-14,MIA,BOS
2025-03-14,PHI,IND
2025-03-14,ATL,LAC
2025-03-14,HOU,DAL
2025-03-14,MEM,CLE
2025-03-14,MIN,ORL
2025-03-14,SAS,CHA
2025-03-14,DEN,LAL
2025-03-14,UTA,TOR
2025-03-14,PHX,SAC
2025-03-15,BKN,BOS
2025-03-15,DET,OKC
2025-03-15,HOU,CHI
2025-03-15,MEM,MIA
2025-03-15,MIL,IND
2025-03-15,SAS,NOP
2025-03-15,GSW,NYK
2025-03-15,DEN,WAS
2025-03-16,DAL,PHI
2025-03-16,LAL,PHX
2025-03-16,BKN,ATL
2025-03-16,CLE,ORL
2025-03-16,POR,TOR
2025-03-16,MIN,UTA
2025-03-16,MIL,OKC
2025-03-16,LAC,WAS
2025-03-17,NYK,MIA
2025-03-17,HOU,PHI
2025-03-17,MIN,IND
2025-03-17,NOP,DET
2025-03-17,SAS,ORL
2025-03-17,UTA,CHI
2025-03-17,GSW,DEN
2025-03-17,PHX,TOR
2025-03-17,SAC,MEM
2025-03-18,CHA,ATL
2025-03-18,BOS,BKN
2025-03-18,POR,WAS
2025-03-18,LAL,MIL
2025-03-18,LAC,CLE
2025-03-19,IND,DAL
2025-03-19,ORL,HOU
2025-03-19,MIA,DET
2025-03-19,MIN,NOP
2025-03-19,OKC,PHI
2025-03-19,SAS,NYK
2025-03-19,UTA,LAC
2025-03-19,GSW,TOR
2025-03-19,LAL,DEN
2025-03-19,PHX,CHI
2025-03-19,POR,MEM
2025-03-19,SAC,CLE
2025-03-20,CHA,NYK
2025-03-20,IND,BKN
2025-03-20,GSW,MIL
2025-03-20,SAC,CHI
2025-03-21,WAS,ORL
2025-03-21,MIA,HOU
2025-03-21,MIN,NOP
2025-03-21,OKC,CHA
2025-03-21,SAS,PHI
2025-03-21,DAL,DET
2025-03-21,UTA,BOS
2025-03-21,PHX,CLE
2025-03-21,POR,DEN
2025-03-21,LAC,MEM
2025-03-22,IND,BKN
2025-03-22,ATL,GSW
2025-03-22,NYK,WAS
2025-03-22,SAC,MIL
2025-03-22,LAL,CHI
2025-03-23,DET,NOP
2025-03-23,UTA,CLE
2025-03-23,ATL,PHI
2025-03-23,MIA,CHA
2025-03-23,TOR,SAS
2025-03-23,POR,BOS
2025-03-23,HOU,DEN
