game_date,player_name,player_id,rolling_mins,min,pos,pts,ast,reb,fg3m,ftr,reb_rate,ast_rate,fg3_rate,usage_percentage,rolling_pts,rolling_usg,rolling_ast,rolling_reb,rolling_fg3m,rolling_dfs,fan_pts,rolling_max_pts,rolling_min_pts,rolling_max_ast,rolling_min_ast,rolling_max_dfs,rolling_min_dfs,rolling_max_reb,rolling_min_reb,rolling_max_fg3m,rolling_min_fg3m,rolling_sd_dfs,rolling_sd_pts,rolling_sd_ast,rolling_sd_reb,rolling_sd_fg3m,rolling_fg3_rate,rolling_max_fg3_rate,rolling_min_fg3_rate,current_pts,current_usg,current_ast,current_reb,current_3s,current_dfs,current_mins,current_fg3_rate,prev_game_date,ppm,days_rest
2024-10-28,Austin Reaves,1630559,35.5,37,Guard,23,3,8,5,0.2,11.2338425381904,2.09876181834148,0.6,0.198154158409206,19.25,0.205631691044824,5.25,7,3,47.75,54,26,12,8,2,62,34,9,4,5,0,11.5974135047432,5.56776436283002,2.40831891575846,1.92353840616713,2.30217288664427,,,,18,0.227404229200591,5,7,2,44,31.5,,2024-10-26,0.571428571428571,1
2024-10-28,Ayo Dosunmu,1630245,25.5,27,Guard,10,4,8,2,0,12.983164983165,3.27768521981572,0.5,0.122608872608873,5.75,0.149918867906342,4.5,5.5,0.75,22.25,39,19,2,6,3,40,13,8,3,5,0,12.7553910171347,6.8044103344816,1.30384048104053,1.87082869338697,2.07364413533277,,,,8,0.158939034456036,4.25,4.25,1.5,22.5,25.75,,2024-10-26,0.310679611650485,1
2024-10-28,Bam Adebayo,1628389,28.5,34,Center-Forward,12,4,10,0,0.444444444444444,14.4657863145258,3.10017687731147,0.222222222222222,0.157575892360725,10,0.185188391971194,2.75,8.25,0.25,34.75,55,20,7,4,1,55,15,11,3,2,0,15.2151240547029,4.94974746830583,1.14017542509914,3.3466401061363,0.894427190999916,,,,12,0.212859913052806,2.25,6.5,0.75,32.5,25.75,,2024-10-26,0.466019417475728,1
2024-10-28,Ben Sheppard,1641767,13.5,22,Guard,8,0,1,2,0,2.43434343434343,0,0.833333333333333,0.116125923546418,4.5,0.0923554344713969,0.5,1.25,1,10,12,14,0,2,0,27,4,2,0,2,0,9.07193474403338,5.17687164221791,0.894427190999916,0.836660026534076,1.09544511501033,,,,6,0.106986906231032,0.75,1.25,1,13.75,15,,2024-10-27,0.4,0
2024-10-28,Bennedict Mathurin,1631097,21,13,Guard-Forward,5,0,2,1,2,8.23931623931624,0,1,0.0943299809730905,12.25,0.203978118798615,1,3,1.25,19,9,20,5,3,0,30,8,6,2,2,0,10.5498815159223,7.50333259292163,1.14017542509914,1.73205080756888,0.836660026534076,,,,13,0.228492188086448,1.75,3.25,1.25,22,22.5,,2024-10-27,0.577777777777778,0
2024-10-28,Bilal Coulibaly,1641731,32,36,Guard,17,3,2,1,0.583333333333333,3.2520325203252,2.01680672268908,0.416666666666667,0.191888551848107,15.25,0.167628970899436,3,4.5,1.5,31.5,27,23,4,6,1,37,15,9,2,4,0,8.67179335547152,7.44983221287567,2.07364413533277,2.60768096208106,1.6431676725155,,,,12,0.162519603784422,2.5,6.25,1.25,28.5,29.25,,2024-10-26,0.41025641025641,1
2024-10-28,Blake Wesley,1631104,11.75,12,Guard,6,2,2,1,0.333333333333333,8.73188405797101,4.53946129214541,0.5,0.279506652537384,4.25,0.214599928380306,2.75,1.75,0.25,10.25,10,6,2,5,2,13,7,4,0,1,0,2.16794833886788,2.04939015319192,1.4142135623731,1.48323969741913,0.447213595499958,,,,3.25,0.173102122996935,3.25,1.75,0,10.25,12.5,,2024-10-26,0.26,1
2024-10-28,Bobby Portis,1626171,24.25,19,Forward,4,0,6,0,0,18.7914230019493,0,0.166666666666667,0.227234154896378,11.25,0.221316634063668,1.5,7.75,0.75,30.75,9,16,4,3,0,44,9,12,3,1,0,13.311649033835,5.09901951359278,1.14017542509914,3.4928498393146,0.547722557505166,,,,12.75,0.211047761310346,2,8.25,0.75,37.5,24.5,,2024-10-27,0.520408163265306,0
2024-10-28,Bradley Beal,203078,34.5,35,Guard,15,4,3,1,0.142857142857143,4.45341614906832,2.84812012155157,0.5,0.204986227383203,16.75,0.230311887332866,4.5,2.75,2.25,33,35,24,13,9,0,41,15,4,1,4,1,13.3716117203574,4.26614580154031,3.50713558335004,1.34164078649987,1.30384048104053,,,,17.25,0.260647028051587,3.5,2.25,2.5,28,31.75,,2024-10-25,0.543307086614173,2
2024-10-28,Brandon Clarke,1629634,13.5,13,Forward,4,0,4,0,0,13.3706293706294,0,0,0.145080613830614,3.5,0.177643260907196,0.5,3.75,0,10,10,9,2,1,0,22,3,5,2,1,0,8.87130204648675,2.70185121722126,0.547722557505166,1.14017542509914,0.447213595499958,,,,4.75,0.17272082313232,0.75,3.25,0.25,12.75,14.5,,2024-10-26,0.327586206896552,1
