,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
228,12024,1610612753,ORL,Orlando Magic,0012400010,2024-10-07,ORL @ NOP,L,241,104,34,77,0.442,9,36,0.25,27,35,0.771,6,38,44,20,9,3,22,19,-2.0
229,12024,1610612742,DAL,Dallas Mavericks,0012400012,2024-10-07,DAL vs. MEM,L,240,116,41,90,0.456,13,33,0.394,21,32,0.656,7,29,36,26,19,3,14,26,-5.0
230,12024,1610612745,HOU,Houston Rockets,0012400014,2024-10-07,HOU @ UTA,L,240,113,41,87,0.471,13,39,0.333,18,22,0.818,8,26,34,27,13,7,21,33,-9.0
231,12024,1610612740,NOP,New Orleans Pelicans,0012400010,2024-10-07,NOP vs. ORL,W,239,106,39,86,0.453,12,40,0.3,16,21,0.762,10,30,40,25,13,5,17,27,2.0
232,12024,1610612763,MEM,Memphis Grizzlies,0012400012,2024-10-07,MEM @ DAL,W,239,121,42,86,0.488,15,41,0.366,22,29,0.759,14,41,55,35,8,7,23,29,5.0
233,12024,1610612762,UTA,Utah Jazz,0012400014,2024-10-07,UTA vs. HOU,W,240,122,35,82,0.427,14,35,0.4,38,43,0.884,15,34,49,21,12,4,20,21,9.0
234,12024,1610612760,OKC,Oklahoma City Thunder,0012400013,2024-10-07,OKC @ SAS,W,240,112,49,97,0.505,11,35,0.314,3,5,0.6,11,35,46,34,13,10,15,18,5.0
235,12024,1610612759,SAS,San Antonio Spurs,0012400013,2024-10-07,SAS vs. OKC,L,240,107,38,83,0.458,17,43,0.395,14,20,0.7,9,33,42,29,8,4,21,13,-5.0
236,12024,1610612738,BOS,Boston Celtics,0012400005,2024-10-06,DEN @ BOS,W,240,130,47,93,0.505,18,47,0.383,18,22,0.818,7,31,38,33,10,3,8,27,26.0
237,12024,1610612764,WAS,Washington Wizards,0012400007,2024-10-06,WAS @ TOR,L,239,98,32,76,0.421,11,30,0.367,23,34,0.676,9,23,32,22,6,7,18,18,-27.0
238,12024,1610612765,DET,Detroit Pistons,0012400008,2024-10-06,DET vs. MIL,W,241,120,43,93,0.462,12,37,0.324,22,26,0.846,12,39,51,31,14,9,12,14,33.0
