player_name,fantasy_team,pro_team,position,injured,injury_status,is_free_agent
Jabari Walker,Free Agent,POR,PF,False,ACTIVE,True
James Johnson,Free Agent,IND,PF,False,ACTIVE,True
Doug McDermott,Free Agent,SAC,SF,False,ACTIVE,True
Alex Len,Free Agent,SAC,C,False,ACTIVE,True
Jordan McLaughlin,Free Agent,SAC,PG,False,ACTIVE,True
Montrezl Harrell,Free Agent,PHL,C,False,[],True
Joe Young,Free Agent,IND,PG,False,[],True
Marcus Zegarowski,Free Agent,BKN,PG,False,[],True
Chris Duarte,Free Agent,CHI,SG,False,ACTIVE,True
Danny Green,Free Agent,PHL,SF,False,[],True
Davis Bertans,Free Agent,FA,PF,False,ACTIVE,True
Mouhamed Gueye,Free Agent,ATL,PF,True,OUT,True
Devonte' Graham,Free Agent,FA,PG,False,ACTIVE,True
Jamal Cain,Free Agent,NOP,SF,False,ACTIVE,True
Oscar Tshiebwe,Free Agent,UTA,C,False,ACTIVE,True
Colby Jones,Free Agent,SAC,SG,False,ACTIVE,True
Robin Lopez,Free Agent,FA,C,False,ACTIVE,True
JT Thor,Free Agent,CLE,PF,False,ACTIVE,True
Wendell Moore Jr.,Free Agent,DET,SF,False,ACTIVE,True
Reggie Bullock Jr.,Free Agent,FA,SF,False,ACTIVE,True
Rade Zagorac,Free Agent,MEM,SG,False,[],True
Moses Wright,Free Agent,DAL,PF,False,[],True
Udonis Haslem,Free Agent,MIA,PF,False,[],True
Patric Young,Free Agent,NOP,C,False,[],True
Aleksej Pokusevski,Free Agent,FA,PF,False,ACTIVE,True
Anton Watson,Free Agent,BOS,PF,False,ACTIVE,True
Tristen Newton,Free Agent,IND,PG,False,ACTIVE,True
Zeke Nnaji,Free Agent,DEN,PF,False,ACTIVE,True
Josh Christopher,Free Agent,MIA,SG,False,ACTIVE,True
Chris Livingston,Free Agent,MIL,SF,False,ACTIVE,True
Austin Rivers,Free Agent,MIN,SG,False,[],True
Bismack Biyombo,Free Agent,FA,C,False,ACTIVE,True
Cam Spencer,Free Agent,MEM,SG,False,ACTIVE,True
Zhou Qi,Free Agent,HOU,C,False,[],True
Sandro Mamukelashvili,Free Agent,SAS,PF,False,ACTIVE,True
Kessler Edwards,Free Agent,DAL,SF,False,ACTIVE,True
Taj Gibson,Free Agent,CHA,PF,False,ACTIVE,True
McKinley Wright IV,Free Agent,DAL,PG,False,[],True
Kevin McCullar Jr.,Free Agent,NYK,SF,True,OUT,True
Harrison Ingram,Free Agent,SAS,SF,False,ACTIVE,True
Jock Landale,Free Agent,HOU,C,False,ACTIVE,True
AJ Griffin,Free Agent,FA,SF,False,ACTIVE,True
Goran Dragic,Free Agent,MIL,PG,False,[],True
TyTy Washington Jr.,Free Agent,PHO,PG,False,ACTIVE,True
Robert Covington,Free Agent,FA,PF,False,DAY_TO_DAY,True
Quinten Post,Free Agent,GSW,C,False,ACTIVE,True
Jamison Battle,Free Agent,TOR,SF,False,ACTIVE,True
Marcus Morris Sr.,Free Agent,FA,PF,False,ACTIVE,True
Oshae Brissett,Free Agent,FA,PF,False,ACTIVE,True
Isaiah Roby,Free Agent,NYK,PF,False,[],True
Karlo Matkovic,Free Agent,NOP,PF,True,OUT,True
Terrence Ross,Free Agent,PHO,SG,False,[],True
Anthony Lamb,Free Agent,GSW,SF,False,[],True
Joshua Primo,Free Agent,FA,SG,False,ACTIVE,True
Ish Smith,Free Agent,FA,PG,False,ACTIVE,True
Nate Wolters,Free Agent,UTA,PG,False,[],True
Enrique Freeman,Free Agent,IND,PF,False,ACTIVE,True
Gui Santos,Free Agent,GSW,SF,False,ACTIVE,True
Robert Woodard II,Free Agent,OKC,SF,False,[],True
Mike Muscala,Free Agent,OKC,C,False,ACTIVE,True
Ricky Rubio,Free Agent,CLE,PG,False,[],True
Nigel Hayes,Free Agent,SAC,SF,False,[],True
Cassius Winston,Free Agent,WAS,PG,False,[],True
Malachi Flynn,Free Agent,FA,PG,False,ACTIVE,True
James Bouknight,Free Agent,FA,SG,False,ACTIVE,True
KJ Simpson,Free Agent,CHA,PG,False,ACTIVE,True
Nassir Little,Free Agent,FA,SF,False,ACTIVE,True
Isaac Jones,Free Agent,SAC,PF,False,ACTIVE,True
George Hill,Free Agent,IND,PG,False,[],True
Rayan Rupert,Free Agent,POR,SG,False,ACTIVE,True
James Nnaji,Free Agent,CHA,C,False,[],True
Bruno Fernando,Free Agent,TOR,C,False,ACTIVE,True
Colin Castleton,Free Agent,MEM,C,False,ACTIVE,True
Duop Reath,Free Agent,POR,C,False,ACTIVE,True
Matt Ryan,Free Agent,NYK,SF,False,ACTIVE,True
Cory Joseph,Free Agent,ORL,PG,False,ACTIVE,True
Blake Wesley,Free Agent,SAS,SG,False,ACTIVE,True
Moses Brown,Free Agent,FA,C,False,ACTIVE,True
Sharife Cooper,Free Agent,FA,PG,False,ACTIVE,True
Kendrick Nunn,Free Agent,WAS,SG,False,[],True
Facundo Campazzo,Free Agent,DAL,PG,False,[],True
Dennis Smith Jr.,Free Agent,BKN,PG,False,ACTIVE,True
Frank Kaminsky,Free Agent,FA,C,False,ACTIVE,True
James Michael McAdoo,Free Agent,PHL,PF,False,[],True
Sidy Cissoko,Free Agent,SAS,SG,False,ACTIVE,True
Vlatko Cancar,Free Agent,DEN,SF,True,OUT,True
Markieff Morris,Free Agent,DAL,PF,False,ACTIVE,True
Evan Fournier,Free Agent,FA,SG,False,ACTIVE,True
Caleb Houstan,Free Agent,ORL,SF,False,ACTIVE,True
Sterling Brown,Free Agent,LAL,SG,False,[],True
Jaylen Clark,Free Agent,MIN,SG,False,ACTIVE,True
Kenneth Lofton Jr.,Free Agent,FA,PF,False,ACTIVE,True
Joe Harris,Free Agent,FA,SF,False,ACTIVE,True
Juancho Hernangomez,Free Agent,TOR,PF,False,[],True
Raul Neto,Free Agent,CLE,PG,False,[],True
Terence Davis,Free Agent,MIL,SG,False,DAY_TO_DAY,True
Garrett Temple,Free Agent,TOR,SG,False,ACTIVE,True
Mike James,Free Agent,BKN,PG,False,[],True
Kevin Knox II,Free Agent,FA,SF,False,ACTIVE,True
Drew Peterson,Free Agent,BOS,SF,False,ACTIVE,True
Patrick Baldwin Jr.,Free Agent,WAS,SF,False,ACTIVE,True
Jordan Goodwin,Free Agent,FA,PG,False,ACTIVE,True
Cam Christie,Free Agent,LAC,SG,False,ACTIVE,True
Hamidou Diallo,Free Agent,FA,SG,False,ACTIVE,True
Brandon Williams,Free Agent,DAL,PG,False,ACTIVE,True
Chuma Okeke,Free Agent,FA,PF,False,ACTIVE,True
Satnam Singh Bhamara,Free Agent,DAL,C,False,[],True
Ulrich Chomche,Free Agent,TOR,C,False,ACTIVE,True
Kira Lewis Jr.,Free Agent,FA,PG,False,ACTIVE,True
Michael Carter-Williams,Free Agent,ORL,PG,False,[],True
T.J. Warren,Free Agent,FA,SF,False,ACTIVE,True
Quenton Jackson,Free Agent,IND,PG,False,ACTIVE,True
Matthew Dellavedova,Free Agent,SAC,PG,False,[],True
Jack White,Free Agent,FA,SF,False,ACTIVE,True
Isaiah Mobley,Free Agent,FA,PF,False,ACTIVE,True
