player_name,pro_team,position,injured,injury_status,acquisition_type,percent_owned,projected_points,points_scored
Cody Williams,UTA,SG,False,ACTIVE,[],,1589.0,147.0
Neemias Queta,BOS,C,False,ACTIVE,[],,0.0,434.0
Jeremiah Robinson-Earl,NOP,PF,True,OUT,[],,773.0,513.0
Tristan da Silva,ORL,SF,False,ACTIVE,[],,0.0,392.0
Gary Payton II,GSW,SG,False,ACTIVE,[],,1080.0,368.0
Luke Kennard,MEM,SG,False,ACTIVE,[],,1632.0,262.0
Julian Strawther,DEN,SF,False,ACTIVE,[],,814.0,421.0
Thanasis Antetokounmpo,FA,SF,True,OUT,[],,0.0,0.0
KJ Martin,PHL,SF,False,ACTIVE,[],,1125.0,357.0
Jalen Wilson,BKN,PF,False,ACTIVE,[],,906.0,461.0
Tidjane Salaun,CHA,PF,False,ACTIVE,[],,0.0,313.0
Mo Bamba,LAC,C,False,ACTIVE,[],,1341.0,191.0
Dean Wade,CLE,PF,False,ACTIVE,[],,1173.0,363.0
Keon Ellis,SAC,SG,False,ACTIVE,[],,987.0,430.0
Reggie Jackson,PHL,PG,False,ACTIVE,[],,1582.0,126.0
Ja'Kobe Walter,TOR,SG,False,ACTIVE,[],,1387.0,184.0
Rudy Gay,GSW,PF,False,[],[],,983.0,0.0
Saddiq Bey,WAS,SF,True,OUT,[],,1608.0,0.0
Xavier Tillman,BOS,PF,False,ACTIVE,[],,1306.0,93.0
Eric Gordon,PHL,SG,False,ACTIVE,[],,1373.0,146.0
Shake Milton,BKN,SG,False,ACTIVE,[],,925.0,302.0
Jarace Walker,IND,PF,False,ACTIVE,[],,741.0,442.0
Garrison Mathews,ATL,SG,False,ACTIVE,[],,804.0,292.0
Ryan Dunn,PHO,SF,False,ACTIVE,[],,0.0,309.0
Christian Wood,LAL,PF,True,OUT,[],,1602.0,0.0
Terrence Shannon Jr.,MIN,SG,False,ACTIVE,[],,917.0,22.0
Jordan Walsh,BOS,SF,False,ACTIVE,[],,439.0,89.0
